"Qty","Value","Part Num","Package","Parts"
"12","0.1uF","*","CAPC2012X145AN","C1, C2, C3, C4, C5, C6, C14, C15, C16, C17, C18, C19"
"1","0R1","0R1 1W","RESC1608X55N","R5"
"1","1K","*","RESC1608X55N","R18"
"2","1N4004","*","DO41-10","D2, D3"
"2","1N4148","*","DO35-7","D1, D5"
"1","2K2","*","RESC1608X55N","R6"
"1","2N7002","*","SOT95P280X135-3N","Q2"
"1","2x3 header","*","2X03","JP1"
"1","4.7K","*","RESC1608X55N","R4"
"1","4K7","*","B25U","R14"
"8","10K","*","RESC1608X55N","R7, R9, R10, R11, R12, R15, R16, R17"
"3","10uF","10uF/25V","E2,5-6E","C8, C11, C12"
"1","15K","*","RESC1608X55N","R3"
"1","20K","*","RESC1608X55N","R8"
"2","47uF","47uF/25V","E2,5-6E","C10, C13"
"1","100R","*","RESC1608X55N","R13"
"3","100uF","100uF/25V","E2,5-6E","C7, C9, C20"
"1","220R","*","RESC1608X55N","R1"
"1","470R","*","B25U","R2"
"1","600R","Ferrite 600R@100MHz","RESC1608X55N","L1"
"1","BAT54","*","SOT95P280X135-3N","D4"
"1","BSS84","*","SOT95P280X135-3N","Q1"
"1","ICL7660CPA","ICL7660CPA","DIL08","U7"
"1","LD117AS33TR","*","SOT223","U6"
"1","LM317","*","TO220-ADJ","U1"
"1","LM358","*","DIP08","U3"
"1","MEGA8-P","ATMerga8A","DIL28-3","U4"
"1","NOKIA5110","Nokia 5110 LCD","NOKIA5110-ALT-TOP","U2"
"1","Rotary enoder","*","1X05","JP2"
"1","Si2307","*","SOT95P280X135-3N","Q3"
